USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
mackajay    1994  0.0  0.0   9608  4992 ?        S    22:59   0:00 /usr/bin/dbus
mackajay    1995  3.4  7.0 4503940 424856 ?      Rsl  22:59   1:56 /usr/bin/gnom
mackajay    2041  0.0  0.1 236068  7680 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2056  0.0  0.2 654700 17664 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2062  0.0  0.4 2595508 26660 ?       Sl   22:59   0:00 /usr/bin/gjs 
mackajay    2063  0.0  0.9 216448 59080 ?        S    22:59   0:00 /usr/bin/Xway
mackajay    2074  0.0  0.2 471240 12228 ?        Ssl  22:59   0:00 /usr/bin/ibus
mackajay    2076  0.0  0.1 392188  6656 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2077  0.0  0.3 421572 20484 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2080  0.0  0.2 440328 12160 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2081  0.0  0.1 467536  7808 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2083  0.0  0.3 494140 19716 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2084  0.0  0.4 602732 25220 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2085  0.0  0.3 605864 23768 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2090  0.0  0.1 332312 11520 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2098  0.0  0.1 539752  6656 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2099  0.0  0.1 318228  6144 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2100  0.0  0.1 551864 11392 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2103  0.0  0.1 468220  8192 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2104  0.0  0.1 402308  9728 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2105  0.0  0.3 495116 20612 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2149  0.0  1.0 965240 62464 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2154  0.0  0.1 305624  6912 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2198  0.0  0.6 660540 41856 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2249  0.0  0.1 245316  6912 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2250  0.0  0.4 430148 29876 ?        Sl   22:59   0:02 /usr/libexec/
mackajay    2265  0.0  0.1 397984 10240 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2272  0.0  0.2 424872 14976 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2275  0.0  0.1 319096  7168 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2306  0.0  0.1 318460  6400 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2311  0.0  0.1 318440  6528 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2316  0.0  0.3 555316 23936 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2327  0.0  0.1 397796  9088 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2333  0.0  0.1 398044  7936 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2340  0.0  0.1 319428  6784 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2358  0.0  0.1 245440  7168 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2382  0.0  0.4 899400 24320 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2393  0.0  0.0 230224  5376 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2409  0.0  0.4 834088 29696 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2422  0.0  0.1 618112  8832 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2436  0.0  1.2 622588 74760 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2458  0.0  0.4 2603700 26904 ?       Sl   22:59   0:00 /usr/bin/gjs 
mackajay    2547  0.0  0.2 710392 14576 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2562  0.0  0.1 244972  6528 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2579  0.0  0.4 275532 24320 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    2581  0.0  0.4 817636 28280 ?        SNsl 22:59   0:00 /usr/libexec/
mackajay    2582  0.0  0.6 917900 41196 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2586  0.0  1.4 1246220 89596 ?       Sl   22:59   0:00 /usr/libexec/
mackajay    2609  0.0  0.4 426404 25748 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    2760  0.1  0.9 634412 56592 ?        Ssl  22:59   0:06 /usr/libexec/
mackajay    2767  0.0  0.0  19692  4992 pts/0    Ss   22:59   0:00 bash
mackajay    2798  0.0  0.4 500884 28164 ?        Sl   23:00   0:00 /usr/bin/upda
root        3074  0.3  0.5 1542744 35936 ?       Ssl  23:04   0:09 /usr/lib/snap
root        3374  0.0  0.0      0     0 ?        I<   23:04   0:00 [kworker/0:1H
